"Unnamed..0","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","Residence_ISO3","Birthplace_ISO3"
12359,0,0,0,0,0,0,0,"Not difficult at all",2,4,6,2,2,"League of Legends","Console",35,"Fun",10,2,0,1,1,0,0,0,0,1,0,2,0,0,1,2,1,0,3,"Male",19,"Student","None","Fiji","Fiji","Multiplayer",0,16,"FJI","FJI"
12360,0,0,0,0,0,1,0,"Not difficult at all",6,6,6,5,5,"Hearthstone","PC",20,"Competition",5,2,1,1,2,1,2,2,0,1,1,3,3,1,2,0,2,0,2,"Male",18,"Student","Bachelors","France","France","Multiplayer",1,28,"FRA","FRA"
12361,3,1,2,1,0,3,1,"Somewhat difficult",3,6,3,5,2,"Other","PC",40,"Fun",2,1,0,3,2,1,3,0,1,1,0,2,1,2,3,3,0,1,1,"Male",22,"Student","High School","USA","USA","Multiplayer",11,19,"USA","USA"
12362,1,1,1,1,1,1,2,"Very difficult",4,5,4,4,2,"League of Legends","PC",20,"Fun",10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,"Male",18,"Student","High School","USA","USA","Multiplayer",8,19,"USA","USA"
12363,1,0,1,3,1,0,1,"Not difficult at all",5,4,5,6,4,"League of Legends","PC",21,"Competition",7,0,2,1,3,1,0,1,2,0,1,4,0,1,2,0,0,0,1,"Male",26,"Student","Bachelors","Norway","Norway","Multiplayer",7,24,"NOR","NOR"
12364,1,0,0,0,1,1,0,"Not difficult at all",4,4,5,3,4,"League of Legends","PC",30,"Competition",5,0,1,1,2,1,1,0,0,2,1,0,0,0,1,1,0,0,2,"Male",20,"Employed","High School","Sweden","Sweden","Multiplayer",3,20,"SWE","SWE"
12365,0,0,0,0,0,2,0,"Somewhat difficult",5,7,2,2,2,"Other","PC",20,"Competition",8,2,3,1,1,2,3,1,1,2,0,0,1,0,2,1,0,0,3,"Male",18,"Student","None","UK","UK","Multiplayer",2,18,"GBR","GBR"
12366,2,1,1,1,1,0,1,"Somewhat difficult",6,5,6,4,3,"League of Legends","PC",20,"Competition",20,3,3,3,2,4,3,1,3,4,3,4,3,3,2,3,3,3,2,"Male",21,"Employed","Bachelors","Canada","Canada","Multiplayer",7,24,"CAN","CAN"
12367,1,1,1,1,0,2,0,"Somewhat difficult",1,5,1,1,1,"League of Legends","PC",25,"Competition",20,1,2,1,1,0,1,3,0,1,0,4,0,0,1,0,0,0,3,"Male",18,"Student","High School","USA","USA","Multiplayer",6,9,"USA","USA"
12368,1,2,2,0,0,3,1,"Somewhat difficult",2,5,5,3,1,"Other","PC",12,"Competition",14,1,3,3,3,4,3,4,4,4,4,4,4,4,2,4,3,2,5,"Male",19,"Unemployed","High School","Germany","Germany","Multiplayer",9,16,"DEU","DEU"
12369,2,1,1,1,1,2,1,"Very difficult",2,6,2,2,1,"League of Legends","PC",20,"Competition",10,2,1,3,2,4,4,2,4,4,2,4,3,2,3,3,1,1,2,"Male",20,"Student","High School","Italy","Italy","Multiplayer",9,13,"ITA","ITA"
12370,1,0,1,0,0,1,0,"Somewhat difficult",7,7,7,5,3,"League of Legends","PC",4,"Competition",7,1,0,2,1,0,0,0,1,0,2,0,0,0,1,1,0,0,3,"Male",18,"Student","None","USA","USA","Multiplayer",3,29,"USA","USA"
12371,0,0,0,0,0,2,1,"Somewhat difficult",2,3,1,1,1,"League of Legends","PC",10,"Fun",10,3,1,3,1,1,1,0,1,3,1,4,1,2,1,0,3,1,1,"Male",22,"Student","High School","UK","UK","Multiplayer",3,8,"GBR","GBR"
12372,1,1,2,0,0,0,1,"Somewhat difficult",2,5,5,1,3,"League of Legends","PC",21,"Competition",7,1,1,3,3,0,4,4,4,3,1,4,0,2,4,3,1,2,2,"Male",20,"Student","High School","Norway","Norway","Multiplayer",5,16,"NOR","NOR"
12373,0,0,0,0,0,0,0,"Not difficult at all",3,6,4,3,3,"League of Legends","PC",35,"Competition",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,"Male",25,"Unemployed","None","Netherlands","Netherlands","Multiplayer",0,19,"NLD","NLD"
12374,0,0,0,1,0,1,0,"Somewhat difficult",2,3,3,2,1,"League of Legends","PC",40,"Competition",16,1,1,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,1,"Male",25,"Employed","High School","USA","USA","Multiplayer",2,11,"USA","USA"
12375,0,0,0,0,0,1,0,"Very difficult",4,5,3,2,2,"League of Legends","PC",25,"Competition",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"Male",25,"Unemployed","Bachelors","France","France","Multiplayer",1,16,"FRA","FRA"
